phrase,speaker,audio_file
"Moni brother, uli bwanji",Timothy,1.wav
"Hello, sister muli bwanji",Timothy,2.wav
"Good morning m'bale wanga, wazuka bwanji",Timothy,3.wav
"Good afternoon, phone yanu sikugwira",Timothy,4.wav
"Good evening, tsiku lanu linali bwanji lero",Timothy,5.wav
"Long time no see, ulipo",Timothy,6.wav
"Ndili bwino, thanks",Timothy,7.wav
"zikuyenda, how about you",Timothy,8.wav
"Welcome back, mwayenda bwanji",Timothy,9.wav
"See you later, mutsale bwino",Timothy,10.wav
Weather lero yavuta kwambiri,Timothy,11.wav
Today ndatopa kwambiri,Timothy,12.wav
Lero ndili busy with other work,Timothy,13.wav
Ndili bwino but ndatopa ,Timothy,14.wav
Weekend inali bwino,Timothy,15.wav
Ndakhala panyumba all day,Timothy,16.wav
Ndikufuna I should rest pang'ono,Timothy,17.wav
I'm already hungry  apapa,Timothy,18.wav
Ndikumva body pain,Timothy,19.wav
Lero ndili bwino kwambiri,Timothy,20.wav
Tikumane mu town,Timothy,21.wav
Let us meet later,Timothy,22.wav
Tikumane ku shop,Timothy,23.wav
Tikumane ku office,Timothy,24.wav
Tikumane ku school,Timothy,25.wav
Ndifika a bit late,Timothy,26.wav
Ndifika six o'clock,Timothy,27.wav
Ndikubwera now now,Timothy,28.wav
Wait for me pang'ono,Timothy,29.wav
Ndidikire for few minutes,Timothy,30.wav
Ndikufuna taxi,Timothy,31.wav
Call wa taxi please,Timothy,32.wav
Taxi yafika kale,Timothy,33.wav
Bus yafika kale,Timothy,34.wav
Ndikwera minibus,Timothy,35.wav
Stop pompa please,Timothy,36.wav
Ndikutsika apa,Timothy,37.wav
Distance yatalika today,Timothy,38.wav
Traffic yavuta kwambiri,Timothy,39.wav
Ndifika a bit late,Timothy,40.wav
Ndikufuna ndikagule bread,Timothy,41.wav
Ndikufuna ndikagule milk,Timothy,42.wav
Ndikufuna ndikagule sugar,Timothy,43.wav
Price yake ndi zingati,Timothy,44.wav
Give me one please,Timothy,45.wav
Ndikufuna two bottles,Timothy,46.wav
Ndikufuna something cheap,Timothy,47.wav
Ndilipira cash,Timothy,48.wav
Ndilipira later,Timothy,49.wav
Do you have change,Timothy,50.wav
Ndikufuna ndipange order food,Timothy,51.wav
Let us eat something,Timothy,52.wav
Ndikumva njala kwambiri,Timothy,53.wav
Umwa drink yanji,Timothy,54.wav
Ndikufuna cold drink,Timothy,55.wav
Give me water please,Timothy,56.wav
Ndikufuna tea,Timothy,57.wav
Ndikufuna coffee,Timothy,58.wav
Food ili nice kwambiri,Timothy,59.wav
The food is spicy pang'ono,Timothy,60.wav
Ndikufuna ndiyimbe phone to someone,Timothy,61.wav
Call me later,Timothy,62.wav
Send me message,Timothy,63.wav
I will text you later,Timothy,64.wav
Phone yanga ili battery low,Timothy,65.wav
Network ikuvuta,Timothy,66.wav
Airtel network yavuta,Timothy,67.wav
Internet yanga yili slow,Timothy,68.wav
WiFi sikugwira,Timothy,69.wav
Ndigulileko airtime,Timothy,70.wav
Bundle yandithera,Timothy,71.wav
Ndikufuna ndigule bundle,Timothy,72.wav
Internet speed ili slow,Timothy,73.wav
Data yanga yatha,Timothy,74.wav
Ndikufuna ndipange connect WiFi,Timothy,75.wav
Check internet connection,Timothy,76.wav
Internet siyikugwira,Timothy,77.wav
Network signal yasowa,Timothy,78.wav
Please check network,Timothy,79.wav
Internet lero yavuta,Timothy,80.wav
Ndikupita ku work,Timothy,81.wav
Ndabwerako ku office,Timothy,82.wav
Ndikufuna some rest after work,Timothy,83.wav
Ndikupita ku school,Timothy,84.wav
Ndili busy ku office,Timothy,85.wav
Ndili ndi meeting lero,Timothy,86.wav
Ndili ndi class lero,Timothy,87.wav
Ndikuphunzira kwambiri,Timothy,88.wav
Teacher ali busy,Timothy,89.wav
Ndikupita ku meeting,Timothy,90.wav
Bill yanga yakwana zingati,Timothy,91.wav
Check bill yanga,Timothy,92.wav
Ndilipira cash,Timothy,93.wav
Ndilipira pa mobile money,Timothy,94.wav
Send money please,Timothy,95.wav
Ndikufuna kupanga transfer money,Timothy,96.wav
Balance yanga ndi zingati,Timothy,97.wav
Payment yanga yalowa,Timothy,98.wav
Payment yalephera,Timothy,99.wav
Please confirm payment,Timothy,100.wav
Muli ndi ma services anji,Timothy,101.wav
Please help me,Timothy,102.wav
Ndikufuna information yochepa,Timothy,103.wav
Show me options,Timothy,104.wav
Please explain bwino bwino,Timothy,105.wav
Ndikufuna to talk to agent,Timothy,106.wav
Customer care please,Timothy,107.wav
Help me pang'ono,Timothy,108.wav
Show main menu,Timothy,109.wav
Please guide me,Timothy,110.wav
Tatsekulani gate,Timothy,111.wav
Tsekani door please,Timothy,112.wav
Ndikufuna I should take shower,Timothy,113.wav
Ndikufuna to sleep,Timothy,114.wav
Ndikufuna cook dinner,Timothy,115.wav
Tiyeni watch TV,Timothy,116.wav
Ndikupita ku bed,Timothy,117.wav
Ndikupita ku kitchen,Timothy,118.wav
House ili quiet,Timothy,119.wav
Ndikufuna rest,Timothy,120.wav
My mom ali ku work,Timothy,121.wav
